CustomerKey,Age,CommuteDistance,EnglishEducation,Gender,HouseOwnerFlag,MaritalStatus,NumberCarsOwned,NumberChildrenAtHome,EnglishOccupation,Region,TotalChildren,YearlyIncome,BikeBuyer
11042,40,0-1 Miles,Partial College,F,1,M,2,0,Skilled Manual,North America,0,70000,1
11043,42,5-10 Miles,Partial College,M,1,M,2,0,Skilled Manual,North America,0,60000,0
11044,68,1-2 Miles,Partial High School,M,1,M,2,1,Clerical,Pacific,2,20000,1
11045,67,1-2 Miles,High School,M,0,S,2,0,Skilled Manual,Pacific,3,30000,0
11046,68,5-10 Miles,High School,F,1,M,2,0,Skilled Manual,Pacific,3,30000,1
11047,68,1-2 Miles,High School,F,0,M,2,0,Skilled Manual,Pacific,3,30000,1
11048,67,5-10 Miles,High School,M,1,M,2,0,Skilled Manual,Pacific,3,30000,1
11049,37,5-10 Miles,Partial High School,F,1,S,2,0,Clerical,North America,0,40000,0
11050,66,5-10 Miles,High School,M,1,M,2,0,Skilled Manual,Pacific,3,30000,1
11051,66,1-2 Miles,High School,M,0,S,2,0,Skilled Manual,Pacific,3,30000,0
11052,66,5-10 Miles,Partial College,F,0,S,2,0,Clerical,Pacific,2,40000,1
11053,37,1-2 Miles,Partial College,F,0,M,2,0,Skilled Manual,North America,0,60000,1
11054,66,5-10 Miles,Partial College,F,1,M,2,0,Skilled Manual,Pacific,2,40000,1
11055,66,5-10 Miles,Partial College,M,1,M,2,0,Skilled Manual,Pacific,2,40000,1
11056,64,5-10 Miles,Partial College,F,1,M,2,0,Skilled Manual,Pacific,3,40000,1
11057,64,1-2 Miles,Graduate Degree,M,1,M,2,0,Management,Pacific,2,70000,1
11058,63,1-2 Miles,Partial College,M,1,M,2,0,Skilled Manual,Pacific,2,80000,1
11059,63,5-10 Miles,Partial College,F,1,S,2,0,Skilled Manual,Pacific,2,80000,0
11060,64,5-10 Miles,Partial College,M,1,M,2,0,Skilled Manual,Pacific,2,80000,1
11061,64,5-10 Miles,Partial College,M,1,M,2,0,Skilled Manual,Pacific,2,80000,1
11062,42,5-10 Miles,High School,M,1,M,2,0,Skilled Manual,North America,0,40000,1
11063,42,5-10 Miles,High School,F,1,S,2,0,Skilled Manual,North America,0,40000,1
11064,42,5-10 Miles,High School,M,1,M,2,0,Skilled Manual,North America,0,40000,1
11065,44,1-2 Miles,Partial College,F,0,M,2,0,Skilled Manual,North America,0,60000,0
11066,44,5-10 Miles,Partial College,F,1,M,2,0,Professional,North America,0,70000,0
11067,41,5-10 Miles,Partial College,M,1,S,2,0,Professional,North America,0,60000,0
11068,62,5-10 Miles,High School,F,1,S,2,0,Skilled Manual,Pacific,2,80000,0
11069,62,1-2 Miles,High School,F,0,S,2,0,Skilled Manual,Pacific,2,80000,1
11070,62,5-10 Miles,High School,M,1,M,2,0,Skilled Manual,Pacific,2,80000,1
11071,62,5-10 Miles,High School,F,1,S,2,0,Skilled Manual,Pacific,2,80000,0
11072,63,1-2 Miles,High School,F,0,S,2,0,Skilled Manual,Pacific,2,80000,1
11073,61,5-10 Miles,High School,F,1,S,2,0,Skilled Manual,Pacific,2,70000,0
11074,61,5-10 Miles,High School,M,1,S,2,0,Skilled Manual,Pacific,2,70000,0
11075,60,5-10 Miles,High School,F,1,S,2,0,Professional,Pacific,2,80000,1
11076,60,5-10 Miles,High School,M,1,S,2,0,Professional,Pacific,2,80000,1
11077,60,1-2 Miles,High School,F,0,S,2,0,Professional,Pacific,2,80000,1
11078,44,1-2 Miles,High School,F,0,S,2,0,Professional,North America,0,40000,0
11079,59,0-1 Miles,Graduate Degree,M,1,S,2,0,Management,Pacific,0,160000,0
11080,58,0-1 Miles,Graduate Degree,M,1,M,2,0,Management,Pacific,0,170000,1
11081,51,2-5 Miles,Bachelors,F,1,M,3,2,Management,North America,2,120000,0
11082,51,1-2 Miles,Graduate Degree,F,0,S,3,1,Management,North America,0,130000,1
11083,52,1-2 Miles,Graduate Degree,F,1,M,3,1,Management,North America,0,130000,1
11084,60,1-2 Miles,Partial High School,M,0,S,2,0,Skilled Manual,North America,2,80000,1
11085,60,5-10 Miles,High School,F,0,S,2,0,Professional,North America,2,60000,0
11086,60,0-1 Miles,Partial College,M,1,M,0,1,Professional,North America,2,70000,0
11087,60,0-1 Miles,Partial College,F,0,M,0,2,Professional,North America,3,70000,0
11088,60,2-5 Miles,Bachelors,M,1,M,0,1,Management,North America,2,80000,1
11089,61,2-5 Miles,Bachelors,F,1,S,1,1,Management,North America,2,80000,1
11090,60,2-5 Miles,Partial College,M,1,S,1,0,Professional,North America,2,90000,1
11091,60,5-10 Miles,Partial College,M,1,M,1,0,Professional,North America,2,90000,0
11092,50,1-2 Miles,Bachelors,F,1,M,0,2,Professional,Pacific,2,90000,1
11093,50,0-1 Miles,Graduate Degree,F,1,M,0,0,Management,Pacific,0,100000,1
11094,55,0-1 Miles,Partial College,M,0,S,1,0,Skilled Manual,Pacific,1,70000,0
11095,55,5-10 Miles,Partial College,M,1,S,1,0,Skilled Manual,Pacific,1,70000,1
11096,55,5-10 Miles,Bachelors,M,1,M,1,0,Professional,Pacific,1,60000,1
11097,56,5-10 Miles,Partial College,M,1,M,1,0,Skilled Manual,Pacific,1,60000,1
11098,56,0-1 Miles,Partial College,F,0,S,1,0,Skilled Manual,Pacific,1,60000,0
11099,57,0-1 Miles,Bachelors,M,1,M,1,0,Professional,Pacific,1,60000,1
11100,57,5-10 Miles,Partial College,F,1,S,1,0,Skilled Manual,Pacific,1,60000,1
11101,52,0-1 Miles,Bachelors,F,0,S,1,0,Professional,Pacific,0,70000,1
11102,52,1-2 Miles,Bachelors,F,1,S,4,5,Professional,Pacific,5,80000,0
11103,53,5-10 Miles,Bachelors,F,1,S,1,0,Professional,Pacific,0,70000,1
11104,54,0-1 Miles,Bachelors,M,0,M,1,0,Professional,Pacific,0,70000,1
11105,53,5-10 Miles,Bachelors,F,0,S,1,0,Professional,Pacific,0,70000,1
11106,53,5-10 Miles,Bachelors,M,0,S,1,0,Professional,Pacific,0,70000,1
11107,58,5-10 Miles,Bachelors,F,1,M,1,0,Professional,Pacific,1,90000,1
11108,54,0-1 Miles,Bachelors,F,0,S,2,0,Professional,Pacific,0,70000,1
11109,54,0-1 Miles,Bachelors,M,0,S,2,0,Professional,Pacific,0,70000,1
11110,55,5-10 Miles,Partial College,M,1,M,1,0,Skilled Manual,Pacific,1,60000,1
11111,56,0-1 Miles,Partial College,F,1,M,1,0,Skilled Manual,Pacific,1,60000,1
11112,55,0-1 Miles,Partial College,F,1,M,1,0,Skilled Manual,Pacific,1,60000,1
11113,56,5-10 Miles,Bachelors,M,1,M,2,4,Professional,Pacific,5,70000,0
11114,55,5-10 Miles,Partial College,F,1,S,2,4,Skilled Manual,Pacific,5,70000,0
11115,56,0-1 Miles,Partial College,M,1,M,2,4,Skilled Manual,Pacific,5,70000,0
11116,55,5-10 Miles,Partial College,M,1,M,2,4,Skilled Manual,Pacific,5,70000,0
11117,57,10+ Miles,Partial College,F,1,M,3,4,Skilled Manual,Pacific,5,70000,1
11118,60,0-1 Miles,Partial College,M,0,S,1,0,Skilled Manual,Pacific,1,80000,0
11119,82,0-1 Miles,Partial College,M,0,S,2,0,Clerical,Pacific,2,30000,0
11120,81,5-10 Miles,Bachelors,F,1,S,1,0,Management,Pacific,2,40000,1
11121,57,10+ Miles,Partial College,M,1,M,3,4,Skilled Manual,Pacific,5,70000,0
11122,57,5-10 Miles,Partial College,M,1,M,3,4,Skilled Manual,Pacific,5,70000,0
11123,57,10+ Miles,Partial College,M,1,M,3,4,Skilled Manual,Pacific,5,70000,0
11124,60,5-10 Miles,Partial College,M,1,S,1,0,Skilled Manual,Pacific,1,80000,1
11125,61,5-10 Miles,Partial College,F,1,S,1,0,Skilled Manual,Pacific,1,70000,0
11126,68,0-1 Miles,High School,M,0,M,2,1,Skilled Manual,Pacific,2,10000,1
11127,42,5-10 Miles,High School,F,1,M,1,0,Skilled Manual,North America,0,40000,0
11128,42,5-10 Miles,High School,F,1,M,1,0,Skilled Manual,North America,0,40000,0
11129,42,5-10 Miles,High School,F,1,S,1,0,Skilled Manual,North America,0,40000,1
11130,38,5-10 Miles,High School,F,1,M,2,0,Skilled Manual,North America,0,30000,0
11131,38,0-1 Miles,High School,F,0,M,2,0,Skilled Manual,North America,0,30000,0
11132,37,5-10 Miles,High School,F,0,S,2,0,Skilled Manual,North America,0,30000,1
11133,37,0-1 Miles,Partial High School,F,0,S,2,0,Clerical,North America,0,30000,0
11134,72,5-10 Miles,High School,M,1,S,2,0,Skilled Manual,Pacific,5,10000,1
11135,38,5-10 Miles,Partial High School,M,0,S,2,0,Clerical,North America,0,30000,1
11136,39,0-1 Miles,High School,F,0,S,2,0,Skilled Manual,North America,0,40000,1
11137,39,5-10 Miles,High School,F,1,M,2,0,Skilled Manual,North America,0,40000,0
11138,39,0-1 Miles,High School,F,0,M,2,0,Skilled Manual,North America,0,40000,0
11139,79,5-10 Miles,Partial College,F,0,S,2,0,Clerical,Pacific,2,30000,0
11140,41,5-10 Miles,Partial High School,M,0,S,2,0,Clerical,North America,0,30000,0
11141,40,0-1 Miles,High School,F,0,M,2,0,Skilled Manual,North America,0,40000,0
11142,40,0-1 Miles,High School,M,0,S,2,0,Skilled Manual,North America,0,40000,0
11143,41,5-10 Miles,High School,M,1,M,2,0,Skilled Manual,North America,0,40000,0
11144,38,0-1 Miles,High School,M,0,S,2,0,Skilled Manual,North America,0,40000,1
11145,38,0-1 Miles,High School,F,0,S,2,0,Skilled Manual,North America,0,40000,1
11146,78,5-10 Miles,Bachelors,F,1,S,2,0,Management,Pacific,2,40000,0
11147,79,0-1 Miles,Graduate Degree,M,1,M,1,0,Management,Pacific,2,60000,1
11148,76,5-10 Miles,Bachelors,M,1,M,2,0,Management,Pacific,2,40000,0
11149,76,0-1 Miles,Bachelors,M,1,M,2,0,Management,Pacific,2,40000,0
11150,77,5-10 Miles,Bachelors,M,1,S,2,0,Management,Pacific,2,40000,0
11151,76,0-1 Miles,Graduate Degree,F,0,S,1,0,Management,Pacific,2,60000,1
11152,42,5-10 Miles,High School,M,1,S,2,0,Skilled Manual,North America,0,40000,1
11153,41,5-10 Miles,High School,F,1,M,2,0,Skilled Manual,North America,0,40000,0
11154,41,5-10 Miles,Partial College,F,1,S,1,0,Skilled Manual,North America,0,40000,1
11155,42,1-2 Miles,Partial College,M,0,S,1,0,Skilled Manual,North America,0,40000,1
11156,42,1-2 Miles,Partial College,F,0,S,1,0,Skilled Manual,North America,0,40000,1
11157,42,5-10 Miles,High School,F,1,M,2,0,Skilled Manual,North America,0,40000,0
11158,42,5-10 Miles,High School,M,1,S,2,0,Skilled Manual,North America,0,40000,1
11159,42,1-2 Miles,High School,F,0,S,2,0,Skilled Manual,North America,0,40000,0
11160,44,5-10 Miles,Partial College,M,0,S,1,0,Skilled Manual,North America,0,40000,1
11161,43,1-2 Miles,Partial College,F,0,S,1,0,Skilled Manual,North America,0,40000,0
11162,44,5-10 Miles,Partial College,M,1,S,1,0,Skilled Manual,North America,0,40000,1
11163,43,5-10 Miles,Partial College,M,1,M,1,0,Skilled Manual,North America,0,40000,0
11164,43,1-2 Miles,Partial College,M,0,S,1,0,Skilled Manual,North America,0,40000,0
11165,44,1-2 Miles,Partial College,F,0,M,1,0,Skilled Manual,North America,0,60000,0
11166,45,0-1 Miles,Partial College,F,0,S,2,0,Skilled Manual,North America,0,70000,0
11167,45,0-1 Miles,Bachelors,F,0,S,1,0,Management,North America,0,80000,1
11168,49,0-1 Miles,Bachelors,M,0,S,1,0,Management,North America,0,80000,1
11169,49,0-1 Miles,Bachelors,M,1,M,1,4,Management,North America,4,90000,0
11170,50,0-1 Miles,Bachelors,F,1,M,1,4,Management,North America,4,90000,0
11171,50,1-2 Miles,Bachelors,M,1,S,2,0,Management,North America,1,100000,1
11172,50,1-2 Miles,Bachelors,F,1,M,2,0,Management,North America,1,100000,0
11173,50,0-1 Miles,Graduate Degree,F,0,S,4,0,Management,North America,0,110000,0
11174,50,2-5 Miles,Graduate Degree,M,1,M,0,1,Management,North America,0,110000,0
11175,55,5-10 Miles,Partial College,M,1,S,2,0,Skilled Manual,North America,0,70000,1
11176,50,1-2 Miles,Bachelors,M,1,M,1,4,Management,North America,4,90000,0
11177,75,5-10 Miles,Graduate Degree,M,1,M,2,4,Management,North America,2,110000,0
11178,74,1-2 Miles,Graduate Degree,M,1,M,3,3,Management,North America,2,100000,0
11179,74,5-10 Miles,Graduate Degree,F,1,M,3,4,Management,North America,2,120000,0
11180,75,0-1 Miles,Bachelors,F,1,M,4,3,Management,North America,1,160000,0
11181,74,0-1 Miles,Graduate Degree,M,1,M,2,3,Management,North America,2,170000,0
11182,73,10+ Miles,Bachelors,F,1,S,2,0,Management,North America,4,70000,0
11183,73,10+ Miles,Bachelors,F,1,S,2,0,Management,North America,4,70000,0
11184,73,10+ Miles,Bachelors,F,1,S,2,0,Management,North America,4,70000,0
11185,73,10+ Miles,Bachelors,F,1,S,2,0,Management,North America,4,70000,0
11186,73,10+ Miles,Bachelors,F,1,S,2,0,Management,North America,4,70000,0
11187,74,10+ Miles,Graduate Degree,F,1,M,2,0,Management,North America,4,60000,0
11188,73,1-2 Miles,Graduate Degree,F,0,M,2,0,Management,North America,4,60000,0
11189,73,10+ Miles,Graduate Degree,M,1,S,2,0,Management,North America,4,60000,1
11190,73,10+ Miles,Bachelors,M,1,M,2,0,Management,North America,5,70000,0
11191,72,10+ Miles,Bachelors,F,1,S,3,0,Management,North America,5,70000,1
11192,72,2-5 Miles,Bachelors,M,1,M,2,0,Management,North America,4,60000,0
11193,73,2-5 Miles,Bachelors,M,1,M,2,0,Management,North America,4,60000,0
11194,72,2-5 Miles,Bachelors,F,1,M,2,0,Management,North America,4,60000,0
11195,72,10+ Miles,Bachelors,F,1,M,3,0,Management,North America,5,60000,0
11196,71,10+ Miles,Bachelors,M,1,M,3,0,Management,North America,5,60000,0
11197,71,1-2 Miles,Bachelors,F,0,M,1,1,Management,North America,3,70000,0
11198,71,10+ Miles,Bachelors,F,1,S,1,1,Management,North America,4,70000,0
11199,71,10+ Miles,Bachelors,F,1,M,1,1,Management,North America,4,70000,0
11200,70,1-2 Miles,Bachelors,M,1,M,1,1,Management,North America,4,70000,0
11201,70,10+ Miles,Bachelors,F,1,M,1,1,Management,North America,4,70000,0
11202,70,1-2 Miles,Bachelors,F,0,M,2,0,Management,North America,5,80000,0
11203,69,10+ Miles,High School,M,1,M,2,1,Professional,North America,2,40000,0
11204,69,2-5 Miles,High School,F,1,M,2,1,Professional,North America,2,40000,0
11205,69,10+ Miles,High School,F,1,M,2,1,Professional,North America,2,40000,0
11206,69,10+ Miles,Partial College,M,1,M,1,1,Professional,North America,2,60000,0
11207,69,10+ Miles,Partial College,F,1,S,1,1,Professional,North America,2,60000,0
11208,70,10+ Miles,Bachelors,F,1,M,0,1,Management,North America,2,60000,0
11209,70,10+ Miles,Bachelors,F,1,M,0,1,Management,North America,2,60000,0
11210,69,10+ Miles,Partial College,M,1,M,2,1,Professional,North America,4,70000,0
11211,68,2-5 Miles,High School,F,1,M,2,1,Professional,North America,2,40000,0
11212,68,2-5 Miles,High School,F,1,M,2,1,Professional,North America,2,40000,0
11213,68,10+ Miles,Partial College,F,1,S,2,1,Professional,North America,2,60000,0
11214,68,10+ Miles,Partial College,M,1,S,2,1,Professional,North America,2,60000,0
11215,67,10+ Miles,Partial High School,F,1,M,2,1,Skilled Manual,North America,2,40000,0
11216,67,10+ Miles,Partial College,F,1,S,2,1,Professional,North America,2,60000,1
11217,68,10+ Miles,Partial College,F,1,S,2,1,Professional,North America,2,60000,1
11218,67,2-5 Miles,Partial College,F,0,S,2,1,Professional,North America,2,60000,0
11219,67,10+ Miles,High School,M,1,M,2,1,Professional,North America,2,60000,0
11220,68,10+ Miles,Partial College,F,1,M,1,1,Professional,North America,2,60000,0
11221,67,1-2 Miles,Partial College,M,1,M,1,2,Professional,North America,4,70000,0
11222,67,1-2 Miles,Bachelors,F,1,M,1,1,Management,North America,3,80000,0
11223,66,2-5 Miles,High School,F,1,S,2,1,Professional,North America,2,70000,0
11224,66,10+ Miles,High School,F,1,S,2,1,Professional,North America,2,70000,1
11225,67,10+ Miles,Partial College,F,1,M,1,1,Professional,North America,2,60000,0
11226,66,2-5 Miles,Partial College,F,1,M,1,1,Professional,North America,2,60000,0
11227,66,10+ Miles,Partial College,M,1,S,2,1,Professional,North America,2,60000,1
11228,66,10+ Miles,Partial College,F,1,M,2,1,Professional,North America,2,60000,0
11229,66,10+ Miles,Partial College,M,1,S,1,2,Professional,North America,4,70000,0
11230,66,2-5 Miles,Partial College,F,0,M,2,2,Professional,North America,4,70000,0
11231,65,10+ Miles,High School,M,1,M,2,1,Professional,North America,2,60000,0
11232,65,2-5 Miles,High School,F,0,M,2,1,Professional,North America,3,60000,0
11233,65,10+ Miles,Partial College,M,1,M,2,2,Professional,North America,4,70000,0
11234,65,10+ Miles,Partial College,F,1,S,2,2,Professional,North America,4,70000,0
11235,66,10+ Miles,Partial College,M,1,M,2,2,Professional,North America,4,70000,0
11236,66,10+ Miles,Partial College,M,1,S,2,2,Professional,North America,5,70000,0
11237,59,0-1 Miles,Bachelors,M,0,S,4,3,Management,Europe,2,130000,1
11238,59,0-1 Miles,Bachelors,F,0,S,4,3,Management,Europe,2,130000,1
11239,59,5-10 Miles,Partial College,F,0,M,2,4,Professional,Europe,2,130000,1
11240,59,5-10 Miles,Partial College,F,1,M,4,3,Professional,Europe,2,160000,1
11241,60,5-10 Miles,Partial College,F,1,S,4,3,Professional,Europe,2,100000,1
11242,60,5-10 Miles,Partial College,M,1,M,3,4,Professional,Europe,2,110000,1
11243,60,0-1 Miles,Partial College,F,1,M,3,3,Professional,Europe,2,150000,1
11244,60,0-1 Miles,Bachelors,F,0,S,3,3,Management,Europe,2,170000,1
11245,61,5-10 Miles,High School,M,0,M,4,4,Professional,Europe,3,120000,1
11246,61,5-10 Miles,High School,F,0,M,4,4,Professional,Europe,3,120000,1
11247,61,0-1 Miles,Partial College,F,0,S,3,4,Professional,Europe,3,130000,1
11248,62,10+ Miles,Partial College,M,1,M,4,4,Professional,Europe,3,110000,0
11249,62,0-1 Miles,Partial College,F,1,M,3,4,Professional,Europe,3,130000,1
11250,63,5-10 Miles,High School,F,1,M,2,4,Professional,Europe,3,170000,1
11251,85,5-10 Miles,High School,M,0,S,2,0,Professional,North America,4,30000,1
11252,85,2-5 Miles,Graduate Degree,M,1,S,1,0,Management,North America,3,90000,1
11253,85,1-2 Miles,Graduate Degree,M,1,M,2,0,Management,North America,2,60000,0
11254,85,5-10 Miles,Graduate Degree,M,1,M,2,0,Management,North America,4,70000,0
11255,84,5-10 Miles,Graduate Degree,M,1,M,2,0,Management,North America,4,70000,0
11256,84,5-10 Miles,Graduate Degree,F,1,M,2,0,Management,North America,4,70000,0
11257,85,2-5 Miles,Graduate Degree,F,1,S,4,2,Management,North America,1,120000,1
11258,84,2-5 Miles,Graduate Degree,M,1,M,4,2,Management,North America,1,120000,0
11259,52,2-5 Miles,Partial College,F,1,M,4,1,Professional,North America,4,100000,1
11260,52,2-5 Miles,Bachelors,F,1,M,3,2,Management,North America,2,110000,0
11261,52,0-1 Miles,Graduate Degree,F,1,M,1,2,Management,North America,1,130000,1
11262,53,0-1 Miles,Bachelors,F,1,M,0,3,Management,North America,4,80000,0
11263,53,2-5 Miles,Partial College,F,1,M,3,5,Professional,North America,5,90000,1
11264,53,0-1 Miles,Partial College,M,0,S,3,5,Professional,North America,5,90000,1
11265,53,0-1 Miles,Partial College,F,1,M,3,5,Professional,North America,5,90000,1
11266,53,5-10 Miles,Partial College,F,0,S,1,0,Professional,North America,0,90000,1
11267,53,2-5 Miles,Partial College,M,1,S,4,2,Professional,North America,4,120000,1
11268,53,1-2 Miles,Graduate Degree,F,1,M,2,2,Management,North America,2,130000,0
11269,53,0-1 Miles,Graduate Degree,M,1,M,2,2,Management,North America,2,130000,0
11270,53,0-1 Miles,Graduate Degree,M,1,M,3,2,Management,North America,2,130000,1
11271,53,1-2 Miles,Bachelors,F,0,S,4,0,Management,North America,2,150000,1
11272,61,5-10 Miles,Partial College,F,1,S,0,3,Professional,North America,4,70000,1
11273,61,10+ Miles,Partial College,M,1,M,0,1,Professional,North America,2,90000,0
11274,83,5-10 Miles,Graduate Degree,M,1,M,2,0,Management,North America,2,50000,1
11275,84,0-1 Miles,Graduate Degree,F,1,M,2,0,Management,North America,4,80000,1
11276,54,2-5 Miles,Partial College,F,1,M,2,3,Professional,North America,4,80000,0
11277,54,0-1 Miles,Partial College,M,1,M,2,3,Professional,North America,4,80000,0
11278,54,10+ Miles,Partial College,M,0,S,1,0,Professional,North America,0,90000,1
11279,54,10+ Miles,Partial College,F,1,M,1,0,Professional,North America,0,90000,0
11280,54,10+ Miles,Partial College,M,1,M,1,0,Professional,North America,0,90000,0
11281,54,5-10 Miles,Bachelors,F,1,S,4,2,Management,North America,4,110000,1
11282,56,1-2 Miles,Partial College,M,1,M,4,4,Professional,North America,5,90000,1
11283,55,1-2 Miles,Bachelors,M,1,M,2,3,Management,North America,1,110000,0
11284,55,1-2 Miles,Bachelors,F,1,M,2,3,Management,North America,1,110000,0
11285,56,2-5 Miles,Partial College,M,0,M,4,3,Professional,North America,1,120000,0
11286,56,2-5 Miles,Graduate Degree,M,1,M,4,0,Management,North America,0,170000,1
11287,57,5-10 Miles,Partial College,M,0,M,3,4,Professional,North America,5,70000,0
11288,56,2-5 Miles,Bachelors,F,1,M,3,3,Management,North America,1,110000,0
11289,57,0-1 Miles,Bachelors,F,1,M,1,3,Management,North America,1,130000,1
11290,56,2-5 Miles,Bachelors,F,1,M,3,3,Management,North America,1,130000,1
11291,56,2-5 Miles,Bachelors,F,1,M,3,3,Management,North America,1,130000,1
11292,56,0-1 Miles,Partial College,M,0,S,3,2,Professional,North America,1,150000,1
11293,62,1-2 Miles,High School,M,0,S,2,0,Professional,North America,2,60000,0
11294,62,1-2 Miles,High School,M,0,M,2,0,Professional,North America,2,60000,0
11295,63,5-10 Miles,Partial High School,F,1,S,2,0,Skilled Manual,North America,2,80000,1
11296,82,5-10 Miles,Graduate Degree,F,1,S,2,0,Management,North America,2,50000,1
11297,83,5-10 Miles,Graduate Degree,M,1,S,2,0,Management,North America,4,70000,1
11298,83,1-2 Miles,Graduate Degree,M,1,M,2,0,Management,North America,4,70000,1
11299,81,1-2 Miles,Graduate Degree,M,1,M,2,0,Management,North America,4,70000,1
11300,58,1-2 Miles,Partial College,M,0,M,3,4,Professional,North America,5,80000,0
11301,57,5-10 Miles,Partial College,M,1,M,4,4,Professional,North America,5,80000,0
11302,57,1-2 Miles,High School,M,0,S,3,3,Professional,North America,4,90000,1
11303,57,1-2 Miles,High School,F,0,S,3,3,Professional,North America,4,90000,1
11304,58,5-10 Miles,Partial College,F,1,M,0,3,Professional,North America,0,100000,0
11305,57,2-5 Miles,Partial College,M,0,M,4,3,Professional,North America,3,110000,0
11306,57,2-5 Miles,Partial College,M,0,M,4,3,Professional,North America,3,110000,0
11307,63,5-10 Miles,Partial High School,M,1,M,2,0,Skilled Manual,North America,2,80000,1
11308,64,1-2 Miles,High School,M,0,M,2,0,Professional,North America,2,60000,0
11309,63,5-10 Miles,High School,F,1,S,2,0,Professional,North America,2,60000,0
11310,64,5-10 Miles,Graduate Degree,F,1,S,2,0,Management,North America,3,70000,0
11311,64,1-2 Miles,Graduate Degree,F,0,S,2,0,Management,North America,3,70000,0
11312,64,5-10 Miles,Graduate Degree,F,1,S,2,0,Management,North America,3,70000,0
11313,65,5-10 Miles,Graduate Degree,M,1,S,2,0,Management,North America,3,70000,0
11314,64,1-2 Miles,Graduate Degree,F,0,S,2,0,Management,North America,3,70000,0
